Local Date: May 14 2021 Local Time: 14:44:35
Build info: Dec 29 2020 22:52:16 r

INFO    14:44:35:903  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:35:923  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:35:943  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:35:962  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:35:983  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:36:000  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:36:020  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:36:038  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:36:071  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:36:103  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:36:120  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:36:137  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:36:154  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:36:171  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:36:191  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:36:208  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:36:225  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:36:242  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:36:258  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:36:276  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:36:292  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:36:309  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:36:325  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:36:342  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:36:358  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:36:376  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:36:395  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:36:411  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:36:429  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:36:446  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:36:464  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:36:483  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:36:500  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:36:517  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:36:535  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:36:552  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:36:569  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:36:587  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
